,sub_region_1,Date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
5367,Karnataka,2020-10-03,-28.774193548387096,31.419354838709676,-38.54838709677419,-13.64516129032258,-13.451612903225806,8.193548387096774
5368,Karnataka,2020-10-04,-31.677419354838708,27.93548387096774,-36.903225806451616,-13.548387096774194,-6.741935483870968,6.774193548387097
5369,Karnataka,2020-10-05,-26.322580645161292,32.354838709677416,-40.354838709677416,-13.0,-18.0,8.451612903225806
5370,Karnataka,2020-10-06,-26.322580645161292,31.93548387096774,-39.25806451612903,-12.419354838709678,-18.677419354838708,8.32258064516129
5371,Karnataka,2020-10-07,-26.06451612903226,35.0,-39.12903225806452,-11.548387096774194,-15.709677419354838,9.290322580645162
5372,Karnataka,2020-10-08,-26.70967741935484,33.83870967741935,-38.25806451612903,-15.290322580645162,-14.290322580645162,12.193548387096774
5373,Karnataka,2020-10-09,-28.06451612903226,28.806451612903224,-38.483870967741936,-17.548387096774192,-12.903225806451612,14.225806451612904
5374,Karnataka,2020-10-10,-31.096774193548388,25.580645161290324,-38.61290322580645,-20.483870967741936,-15.935483870967742,14.612903225806452
5375,Karnataka,2020-10-11,-34.25806451612903,23.322580645161292,-35.83870967741935,-19.35483870967742,-0.6451612903225806,13.161290322580646
5376,Karnataka,2020-10-12,-26.677419354838708,30.870967741935484,-37.25806451612903,-16.387096774193548,-14.193548387096774,15.0
5377,Karnataka,2020-10-13,-26.322580645161292,30.967741935483872,-37.0,-15.290322580645162,-15.387096774193548,14.806451612903226
5378,Karnataka,2020-10-14,-28.258064516129032,28.483870967741936,-38.935483870967744,-17.161290322580644,-15.806451612903226,16.29032258064516
5379,Karnataka,2020-10-15,-24.193548387096776,38.064516129032256,-37.645161290322584,-14.419354838709678,-13.64516129032258,16.741935483870968
5380,Karnataka,2020-10-16,-26.548387096774192,37.61290322580645,-37.70967741935484,-15.129032258064516,-13.096774193548388,17.258064516129032
5381,Karnataka,2020-10-17,-25.580645161290324,41.38709677419355,-38.58064516129032,-13.225806451612904,-7.516129032258065,14.580645161290322
5382,Karnataka,2020-10-18,-26.258064516129032,36.38709677419355,-32.12903225806452,-10.612903225806452,3.161290322580645,12.129032258064516
5383,Karnataka,2020-10-19,-21.967741935483872,39.193548387096776,-33.16129032258065,-11.225806451612904,-14.32258064516129,15.096774193548388
5384,Karnataka,2020-10-20,-26.741935483870968,27.806451612903224,-35.193548387096776,-14.129032258064516,-16.06451612903226,15.580645161290322
5385,Karnataka,2020-10-21,-22.0,37.74193548387097,-34.70967741935484,-10.483870967741936,-15.35483870967742,13.03225806451613
5386,Karnataka,2020-10-22,-20.838709677419356,39.806451612903224,-34.806451612903224,-11.064516129032258,-16.516129032258064,10.516129032258064
5387,Karnataka,2020-10-23,-18.548387096774192,47.96774193548387,-33.61290322580645,-6.548387096774194,-15.225806451612904,8.419354838709678
5388,Karnataka,2020-10-24,-19.741935483870968,54.67741935483871,-32.45161290322581,-4.354838709677419,-19.419354838709676,8.161290322580646
5389,Karnataka,2020-10-25,-26.838709677419356,36.766666666666666,-29.774193548387096,-7.0,-0.7096774193548387,6.129032258064516
5390,Karnataka,2020-10-26,-23.096774193548388,29.35483870967742,-8.35483870967742,-12.548387096774194,-46.58064516129032,12.258064516129032
5391,Karnataka,2020-10-27,-18.612903225806452,40.225806451612904,-22.806451612903224,-3.0,-23.387096774193548,6.870967741935484
5392,Karnataka,2020-10-28,-18.032258064516128,40.0,-28.225806451612904,-2.6451612903225805,-20.70967741935484,7.387096774193548
5393,Karnataka,2020-10-29,-19.29032258064516,37.03225806451613,-30.967741935483872,-6.935483870967742,-20.29032258064516,9.0
5394,Karnataka,2020-10-30,-23.35483870967742,34.32258064516129,-30.161290322580644,-12.258064516129032,-30.806451612903224,12.161290322580646
5395,Karnataka,2020-10-31,-27.548387096774192,27.322580645161292,-33.096774193548384,-16.774193548387096,-22.483870967741936,11.483870967741936
